author,text,likeCount,publishedAt
@Abdulrohman-kv3ev,"Di IG,X,FB,TIKTOK..semua netizen negara malays dan nguyen,berkomentar menghina,terhadap hasil dari Match timnas indonesia..",0,2024-09-06T06:42:24Z
@kishimotoru36,Mantappp,0,2024-09-06T06:42:19Z
@yudhies1512,"Debut epic paes,..skil mumpuni di bwah mistar,.. gol balasan arab jg terbaca dgn baik,.sayang nyangkut bek,..👍,. Wasit tegas,. G tau knp 2x prpanjangan wktu terasa trlalu lama aplg babak kedua,.hbis tambahan wkt msh di ulur 1 menitan trkesan menunggu datangnya gol ke 2 arab aplg indonesia posisi tertekan di masa it.",0,2024-09-06T06:42:03Z
@niconada4720,Optimis 2 match 4 poin,0,2024-09-06T06:42:02Z
@didikkgunawan6956,Mainya sudah bagus kurang penyelsaian akhir,0,2024-09-06T06:41:51Z
@nadiautami7937,"Versi full nya ada gak min ? Pengen nonton berkali², belum bisa move on... 😍😍",2,2024-09-06T06:41:51Z
@ebytenniseby,Semoga indonesia lolos piala dunia amin,0,2024-09-06T06:41:36Z
@mudawwiriluphi8847,Lhooo aku kira blom mulai 😂,0,2024-09-06T06:41:20Z
@liamFfernandez,Kaya mimpi punya timnas begini,1,2024-09-06T06:41:07Z
@jagorkindom875,Sayang kurang tenang pas serangan balik.. Pd hal bnyk lubang tu Arab Saudi tp overall timnas gila c keren❤❤❤❤,0,2024-09-06T06:40:59Z
@adesaputra6480,"Alhamdulillah 1 poin berharga dari laga away yg tidak mudah, bisa menang sebenarnya dari sistem counter attack di kasih 3 peluang sayang penyelesaian akhir yg gak bagus, berharap ada pemain pelapis struick yg bagus sih, keliatan kloe udah menit 70 an udah capek banget, butuh striker tajam yg sepadan sama ragnar

Dreams come true indonesia masuk piala dunia, amin.",1,2024-09-06T06:40:44Z
@amienpamungkas2309,Arab main keras kyak tarkam..,0,2024-09-06T06:40:43Z
@oktavarizanuarlis8308,Kadang2 permainan khas indo nya msh melekat 😅,0,2024-09-06T06:40:43Z
@aneka-apasaja,"Mantap Indonesia, RCTI tayangannya berkelas",1,2024-09-06T06:40:23Z
@TiaroIpa,Alhamdulillah,0,2024-09-06T06:40:23Z
@born2win601,Puji Tuhan indonesia menang,2,2024-09-06T06:40:09Z
@acharesek1290,Gua merinding liat pemain tapi lebih merinding dengar sporter indonesia baik dikandang lawan tetap menyalah,0,2024-09-06T06:40:08Z
@Muhamadsyukursh,Hadia umroh buat haji ratner oratmangun ❤❤❤,0,2024-09-06T06:39:46Z
@hitamkalek,"Mak, 5 jt view dlm 10jam",0,2024-09-06T06:39:39Z
@RiyanFikrihaikal,Menyala timnasku❤❤,0,2024-09-06T06:39:37Z
@arisaris980,Jumat berkah❤❤,0,2024-09-06T06:39:24Z
@rudisyam2137,Terimakasih untuk para pemain dan pejuang sepakbola Indonesia ku... 100% aku bangga dengan kalian... Terus lah berjuang demi bangsa dan negara... maju terus pantang mundur... Haram Manyarah waja sampai kaputing..❤❤❤,3,2024-09-06T06:39:09Z
@shabira_biya2857,Keren sih TIMNAS INDONESIA 👍👍 Merinding weeeyyyyy,0,2024-09-06T06:39:04Z
@Thv794,Semoga Indonesia ken,0,2024-09-06T06:39:02Z
@johan1790,Thanks Maarten Paes you are our Hero. God Bless You and all the Team,0,2024-09-06T06:38:57Z
@aliyamuba6475,"Harusnya indo semalem bisa menang, sayang Indo kemarin lagi gak berkah, kedatengan mala petaka",0,2024-09-06T06:38:12Z
@ahmadprasetyo4023,Alhamdulillah ditengah hiruk pikuk politik gk jelas masih ada timnas yang bikin bangga,0,2024-09-06T06:38:12Z
@rahmatpahartodi400,"Tidak,ad yg sadar kah itu wasit bri liga 1😂",0,2024-09-06T06:38:11Z
@khojack8517,Gila main nya tim nas.. Salut... 😂😂😂,0,2024-09-06T06:38:09Z
@soegiarto2541,TIMNAS INDONESIA.. KAMU BISA..  ❤❤❤,0,2024-09-06T06:38:04Z
@GatauYa-px8jp,Emg dari dlu RCTI pling pantas menyiarkan sepak bola mau dari timnas/ liga champions😊,0,2024-09-06T06:37:55Z
@YukiMaryana,"Waw roberto mancini ,good job",1,2024-09-06T06:37:52Z
@aliyamuba6475,Alhamdulillah,0,2024-09-06T06:37:46Z
@dediansyahsalim1574,🎉🎉🎉❤❤❤,0,2024-09-06T06:37:30Z
@dekillhead,Pediksi tertinggiku ya imbang 1-1. Bisa cetak gol udah keren pake banget lawan gedebok pisang langganan pildun gini 🔥,0,2024-09-06T06:37:17Z
@dhafinraffiandra4177,Jangan kasih tau bung towel... 😅,0,2024-09-06T06:37:12Z
@jhondls2024Cr7,Semoga semakin banyak pemain Eropa yang gabung timnas biar Indonesia masuk piala dunia..,0,2024-09-06T06:37:04Z
@asmetdasume,"keren betul, main dikandang lawan, lawan yg selama ini membuly, bisa kena mental duluan. hampir ilang muka mancini",0,2024-09-06T06:37:00Z
@hadiyono1541,"Timnas luar biasa, permainan yg memukau...kayaknya tim lain mulai ketar ketir nih,SM timnas... bravo PSSI...",0,2024-09-06T06:36:58Z
@diensyila640,Witan dan Ridho jadi makin bagus maennya,0,2024-09-06T06:36:37Z
@UUSSHOFIYUDDIN,SEMPURNA,0,2024-09-06T06:36:34Z
@duadelapanjuni191,Ngeri bgt ragnar,0,2024-09-06T06:36:34Z
@erwinsaputra3645,udah jadi timnas hindia belanda,0,2024-09-06T06:36:27Z
@nataprizachenel6998,Kiper baru nyaaa juga GK kaleng kaleng donk . . .. haaaaaaa,0,2024-09-06T06:36:07Z
@joesuwisar,Good Job TIMNAS 😘😘😘😘,0,2024-09-06T06:36:07Z
@putracubung4992,Cakeppp,0,2024-09-06T06:35:58Z
@anidyaamhel9963,Mim full match nya ga ada ya?,0,2024-09-06T06:35:45Z
@AtepSeptiana,"Harusnya towel belajar dari match ini,seorang roberto mancini aja kalo di kasi pemain pas2an bisa apa?coba kek dulu pegang club italy jaya banget,percuma pelatih bagus kalo kualitas pemain buruk,apalagi kalo pemain gk bisa di atur tambah susah dan gk bakal ada peningkatan",1,2024-09-06T06:35:42Z
@nadahati0157,"Marten Paes ini bener kiper kalau pas terbang kelihatan ringan banget, seperti kiper2 Eropa Langganan Liga Champion",0,2024-09-06T06:35:10Z
@NurusShobah-g9m,Ini baru indonesia banyak menggunakan skill aturan fifa dalam menguasai bola,0,2024-09-06T06:35:07Z
@yudianto9969,Luar biasa mainya bagus indonesa....,0,2024-09-06T06:34:51Z
@nameart_i,Draw serasa Menang 🔥🔥🔥,0,2024-09-06T06:34:46Z
@ipunksoboparan7577,"Towel mana towel, bagi dia pertandingan ini tidak ada artinya. Menurut Kontowel, pertandingan timnas Indonesia lawan Kamboja atau Singapura itu adalah pertandingan yang paling bergengsi.  Menurut Kontowel, pertandingan tingkat Asean lebih bergengsi daripada pertandingan ini. Orang seperti ini kok ya dijadikan pengamat bola, padahal pemikirannya selangkah mundur kebelakang, maklum lah pengamat sepakbola abal-abal. Kalau PSSI menuruti saran Kontowel, saya yakin 100 tahun kedepan, timnas Indonesia tetap berkutat di tingkat Asean dan bisa menahan imbang Kamboja itu sudah sangat berprestasi, itulah yg diinginkan Kontowel.",0,2024-09-06T06:34:33Z
@budisuprapto5184,"Tanpa beban, main Spartan. Itulah tampilan Garuda tadi malam💪🇮🇩",0,2024-09-06T06:34:06Z
@pengusahaminyak,"Indonesia hebat, bisa menahan Arab Saudi, terlebih main di kandang lawan.",0,2024-09-06T06:34:04Z
@ajiputrasetiawibowo4683,RCTI b4ngsat sinyalll erorrr,0,2024-09-06T06:33:52Z
@sripaujiah0521,Sayang banget bapak ku gk bisa nonton semalam apakah akan ada ulangannya min😢,0,2024-09-06T06:33:38Z
@bahsikem2212,ini baru timnas ❤❤❤ garuda di dadaku,0,2024-09-06T06:33:37Z
@AbdulRohim-bh6ud,Sblm bermain pemain timnas qta Umroh dulu,0,2024-09-06T06:33:32Z
@rekhaza,"Ragnar makin pede, tp alamat songong dah mukanya, kaget terkenal",0,2024-09-06T06:33:28Z
@sripaujiah0521,Sayang banget bapak ku gk bisa nonton semalam apakah akan ada ulangannya min😢,0,2024-09-06T06:33:27Z
@Adeplaymaker,Kasih menyala MANG PAESAL,0,2024-09-06T06:33:23Z
@Viking-i1w,Paessssss🔥🔥,0,2024-09-06T06:33:15Z
@Nadira-yz8xt,"Mereka bukan naturalisme  
Tapi  mereka orang imdonesia  membela setengah darah mereka ada di indonesia 
Negara ibu mereka",0,2024-09-06T06:33:02Z
@heruprahara4775,Paes hampir jadi bahan gunjingan omongan seluruh netizen,0,2024-09-06T06:32:48Z
@zainalhilmi281,Botak Bukan Sembarangan Botak😅  PEPE indo,0,2024-09-06T06:32:40Z
@elbezchem6447,"Harus ada fullnya nnti admin , biar jadi kenangan buat timnas dan kita jg👏🔥⚔️",2,2024-09-06T06:32:30Z
@fandikurniawan9564,Arab masukin juga karna owngoal😂😂,0,2024-09-06T06:32:25Z
@AmriSyan,Benderanya ko beda ya indonesiia,0,2024-09-06T06:32:21Z
@SalbiahSitorus-y1c,"Nggk sia sia naturalisasi,nggk kebayang kalau lokal pride yg maen semua, jhahahahahha",0,2024-09-06T06:32:04Z
@burungterasan69,"Yg gw heran riski ridho bener"" tenang due sama bang jay",0,2024-09-06T06:32:03Z
@pecintaburungdanikan5375,"Jijik bgt liat negara2 timteng dramanya lebay banget, kesenggol ujung kuku langsung kaya orang stroke",0,2024-09-06T06:31:53Z
@khafioibrahim8750,Berjaya timnasqu maju terus sampai di kanca dunia,0,2024-09-06T06:31:50Z
@AfriantoLi,Alhamdulillah,0,2024-09-06T06:31:48Z
@FaisalRahman-o3p,Mancini diem,0,2024-09-06T06:31:44Z
@Lutfikusdiana,Alhamdullilah indonesia bisa mengimbangi arab saudi 🎉🎉🎉🎉❤❤❤❤❤❤❤,0,2024-09-06T06:31:37Z
@hendryvaleda,Top Timnasku ❤,0,2024-09-06T06:31:35Z
@firmanalif831,"coach mancini sampai terdiem, heheh..bravo tim garuda",0,2024-09-06T06:31:27Z
