author,text,likeCount,publishedAt
@MungusZodiac,"Entah kanapa rumput GBK masih kurang mendukung.
Sayang sekali di pertandingan penting peran rumput juga krusial.",0,2024-09-14T17:20:11Z
@Zoel123-eb8hj,Tolong jadikan sanantha striker paling tajam di asia,0,2024-09-14T17:12:36Z
@husnirozaq6662,Indonesia butuh striker tajam seperti Rendy Juliansyah rivaldo tood perre sadil ramdani bagas bagus Supriyadi yabes roni Zulfiandi Ilhamudin Haramain sutan ziqo ciro Alves lutfi kamal sany rizky taufany Irfan jaya sutan ziqo Supriyadi yabes roni andik Firmansyah dimas Drajad Hargianto Lilipaly Beckham putra bek Manahati Lestusen dan tambah lagi pemain naturalisasi striker tajam maju terus coch shin tayoung 💪💪💪💪💪💪💪,0,2024-09-14T15:26:04Z
@husnirozaq6662,Indonesia butuh striker tajam seperti Rendy  Juliansyah rivaldo tood perre sadil ramdani bagas bagus Supriyadi yabes roni andik Firmansyah Lutfi kamal sany rizky taufany Irfan jaya sutan ziqo Supriyadi yabes roni Zulfiandi Ilhamudin Haramain ciro alves dimas Drajad Hargianto dan tambah lagi pemain striker naturalisasi grade A dan Manahati Lestusen sebagai bek ayo coch shin tayoung sebelum terlambat💪💪💪💪,0,2024-09-14T15:13:08Z
@husnirozaq6662,Indonesia butuh striker tajam seperti Rendy Juliansyah rivaldo tood perre sadil ramdani bagas bagus Supriyadi yabes roni andik Firmansyah dimas Drajad Hargianto lutfi kamal sany rizky taufany Irfan jaya sutan ziqo ciro Alves Ilhamudin Haramain Lilipaly Beckham putra dan tambah pemain striker tajam lagi grade A dan shin tayoung harus coret Marcelino dan witan Sulaiman dan egy Maulana fikri.💪💪💪💪💪,0,2024-09-14T15:07:16Z
@budisantoso-ze6rp,Naturalisasi yang kebablasan. Mayoritas pemain Naturalisasi. Cara insntant tuk capai ambisi kepiala dunia.,0,2024-09-14T14:27:32Z
@ferotew7905,Marten paes top cer,0,2024-09-14T13:39:04Z
@sg6.,Billup kiper,0,2024-09-14T12:56:58Z
@AndarAndar-f2w,"Seharusnya marselino gak main,tomhaye layak main babak pertama",0,2024-09-14T12:19:06Z
@AsmiAsmiatun-xl7go,bagus,0,2024-09-14T12:13:20Z
@arifhidayat-oh2yx,arif❤,0,2024-09-14T11:29:06Z
@jcmbsitower,komentatornya kearab2an...alhamdulillah hahahahah,0,2024-09-14T10:09:02Z
@Orange75192,Kesebelasan Indonesia ko bule2..dan jangkung2...😂,0,2024-09-14T08:56:13Z
@AdhiShah-e8f,"Bukan mengecilkan pemain lokal, nyatanya memang pmain lokal yg bisa dibilang improve cuma r ridho, sisanya masih jauh untuk sekelas tim tim besar",0,2024-09-14T08:31:28Z
@edmul187,Martin paes vs Australia 😅,0,2024-09-14T04:54:29Z
@vu7831,Di beberapa momen saat dapat peluang pemain timnas tdk melihat rekannya yg berdiri kosong tanpa jagaan tim pemain lawan seperti peluang RAGNAR URATMANGUN yg shoting di kotak finalti Australia di sisi kanan ada MARSELINO yg berdiri kosong kalau seandainya di umpan mungkin timnas bisa mengalahkan Australia,0,2024-09-14T04:20:53Z
@vu7831,Di beberapa momen saat dapat peluang pemain timnas tdk melihat rekannya yg berdiri kosong tanpa jagaan tim pemain lawan seperti peluang RAGNAR URATMANGUN yg shoting di kotak finalti Australia di sisi kanan ada MARSELINO yg berdiri kosong kalau seandainya di umpan mungkin timnas bisa mengalahkan Australia,0,2024-09-14T04:20:42Z
@AryRamadhani,😊😊😊😊,0,2024-09-14T03:44:49Z
@sunarmuhadi,"inilah pelatih ,bisa mengubah pola permainan di babak ke2",0,2024-09-14T03:27:44Z
@nurwantozrd586,Timnas love,0,2024-09-14T03:17:50Z
@Rotasi_bola07,Marteen paes kerja keras pisan😂.... Mantap,0,2024-09-14T02:28:04Z
@nofalfeb7318,Wagu,0,2024-09-14T02:13:25Z
@lalalili4816,"Sungguh sgt kecewa meliht performa permainan INA vs Australia, salah passing dlm sepjg laga, dan pemain tdk bisa memainkn bola . Klau cara main seperti ini INA tdk pts main utk pildun bhkn menampilkn permainan asal jadi dn menjadi lumbung gol bagi negra lain.",0,2024-09-14T02:07:37Z
@HendraF1Channel,Marten Paes Bonyok,0,2024-09-14T00:21:37Z
@viko1479,Indonesia butuh penyerang tajam,0,2024-09-13T23:59:27Z
@muhammadmursyid8724,"11:47 ini kalo shoot ke gawang langsung jarak jauh bisa bikin australi deg deg ser, apalagi kalo andai gol...",0,2024-09-13T22:41:00Z
