author,text,likeCount,publishedAt
@xAntiXTerrorx,"Marthen Paes came at the right time, Hopefully Tijjani Reijnders' brother will soon join Indonesia, I also hope Australia will rise soon, Hopefully Japan, South Korea, Indonesia and Australia will qualify for the World Cup, Without Australia the world cup is not fun, greetings from Indonesia, God bless🥰🥰🥰",1,2024-09-11T06:09:19Z
@yusrimohamad1261,Tahniah Indonesia...,1,2024-09-11T06:04:09Z
@MidiMidi-o2n,Tidak bisa di pungkiri Australia tadi malam bermain sangat bagus tapi lini belakang Indonesia tangguh dan di suport penjaga gawang paes,0,2024-09-11T06:03:22Z
@TyTyTy87,I feel sorry for the people who paid to watch this abysmal performance,0,2024-09-11T05:46:59Z
@SaSa-kt4kn,Indonesia akan jadi kuda hitam di grup ini,0,2024-09-11T05:42:10Z
@thienan4598,"tôi là người Việt Nam , không hiểu bằng cách nào , tôi  đang quan tâm và muốn Indonesia sẽ tham gia worldcup , chúc Indonesia sẽ thành công",363,2024-09-11T05:40:53Z
@Papahyaya,Player Tim Australia tidak punya nama ?? Hanya nomer punggung saja.. tidak nge modal..,0,2024-09-11T05:29:34Z
@finzaabror1254,Rumputnya kena cacar,0,2024-09-11T05:18:40Z
@dein1234,"As Indonesian, Australia really play very well, hope we can improve on the next match",2,2024-09-11T05:13:41Z
@Hamid1382,What the….🤬,0,2024-09-11T04:45:29Z
@wew1171,thx Australia,0,2024-09-11T04:38:59Z
@donotwantahandle1111,Losing to Bahrain and a draw against Indonesia? Something isn’t right with the Socceroos.,0,2024-09-11T04:37:11Z
@user-kk4zw5jo4t,Lowlights?,0,2024-09-11T04:34:31Z
@aichikunpaiz4716,I would like indonesia to qualify world cup..but with this level of play and possession it is hard to imagine can they even give competition to others football giants😅,0,2024-09-11T04:33:40Z
@suzumarko4289,AUS is not asia,0,2024-09-11T04:26:18Z
@asalef2305,Marten paes its amazing,0,2024-09-11T04:19:23Z
@chiania,Fighting indonsia from Korea❤ 사랑해! 🇮🇩❤🇰🇷,114,2024-09-11T04:16:55Z
@AdamBenson-d6v,"If Arnold isn't relieved of his duties very soon, there's no way we'll make the next world cup. This is almost as bad as the loss to Fiji in 1989. As an Australian this is very embarrassing.",3,2024-09-11T04:14:08Z
@setyosetyo-v8m,"You have given your best and extraordinary game, but the goddess of luck has not been on your side, and of course this will be a good experience for the Garuda national team, with better quality in the next match. Thank you. Greetings, stay healthy and stay enthusiastic, see you in Australia.",0,2024-09-11T04:09:33Z
@checheppurnama6973,"Big respect to Indonesian National Team. 
Right from the Goal Keeper, Maarten Paes is absolutely world Class. Defenders are awesome with good character of organizational skills, midfielders are good as well but we must admit Indonesia still lack of ""killer strikers"".
Overall it was amazing, most probably Indonesia will qualify to the world Cup games... Hopefully.",22,2024-09-11T03:49:05Z
@muhamadfirdaus2040,"Terbaikk indon ,dpt bertahan seri smpai tamat game...tahniah2 🇲🇾 🇲🇾",0,2024-09-11T03:42:18Z
@jagoan2000,"Ini baru nntn bola kelas dunia, komentator nya bahas enggres❤",0,2024-09-11T03:37:29Z
@Boonyen-y9o,อินโดแลนด์,0,2024-09-11T03:34:27Z
@mr.freeze3889,I wish Indonesia would reach the WC Finals. For too long we SE Asians have no one to root for during World Cups ❤ 🇮🇩🇲🇾🇵🇭🇹🇭🇻🇳🇱🇦🇧🇳🇹🇱🇰🇭🇸🇬🇲🇲,0,2024-09-11T03:12:05Z
@BudiSatrio-q6o,"Congrats aussie,indonesia just lucky",1,2024-09-11T03:10:59Z
@abubakarhasan7534,Congratulation 4 Indonesia... Keep fighting next game,0,2024-09-11T03:10:37Z
@danslandevies8700,Australia in shock : why Indonesian player looks like European guy ? 😂,0,2024-09-11T03:05:26Z
@isajames1972,The Australian football curriculum is so terrible it starts from juniors,0,2024-09-11T03:01:44Z
@bhateassasians4942,Being Australian fan: Shite here we go again😢😢,0,2024-09-11T02:50:37Z
@mummilamummy,I want Harry Kewell and Mark Viduka back,0,2024-09-11T02:36:42Z
@MbahMu9829,Me ams indon. Me are proud,0,2024-09-11T02:35:27Z
@vk5786,maarten paes what a goalkeeper..,7,2024-09-11T02:27:48Z
@corteztt518,What happened to Socceroos? Too many Bintang in Indonesia?,1,2024-09-11T02:27:07Z
@DV-zv4ox,If not for Irankunda we would be so toothless in attack. Won't take long for opposition teams to cotton onto him and nullify any real attacking threat. Arnold needs to fix this ASAP.,0,2024-09-11T02:23:36Z
@Kim8043,"I cheer for Indonesia!  I'm so proud of them.
From S. Korea",21,2024-09-11T02:22:39Z
@zackmusic13,Kenapa nggak warna merah,0,2024-09-11T02:14:46Z
@rezadwis96,Nitip sendal bang socceroos😊,0,2024-09-11T02:14:08Z
@Unablebad4,It would be funny if Indonesia qualify to world cup,0,2024-09-11T02:07:38Z
@baraya_bandung,menahan imbang negara negara kuat seperti arab Saudi dan Australia adalah pencapaian terbaik untuk timnas Indonesia melangkah menuju tempat lolos di 6 besar.. permainan Australia sangat lah mengerikan tadi malam akan tetapi penjaga gawang kami Maarten paes menunjukkan permainan save nya yang luar biasa bisa menahan imbang dengan gempuran yang bertubi-tubi ❤❤❤❤❤❤ 🇮🇩🇮🇩❤❤❤❤❤❤,25,2024-09-11T02:06:47Z
@syaghi3384,Australia needs a super player or super striker which they don't have now that's why they can't win,0,2024-09-11T02:06:00Z
@GevaJhonkota,Butuh tambahan pemain lgi dari sisi penyerang,1,2024-09-11T01:59:24Z
